City,Place Name,Price,Image_URL,Description,Category
Agra,Taj Mahal,₹ 50 (Indians)/ ₹ 1300 (Foreign),https://i.natgeofe.com/n/8eba070d-14e5-4d07-8bab-9db774029063/93080_2x1.jpg,The Taj Mahal an iconic symbol of love is a white marble mausoleum built by Mughal emperor Shah Jahan in memory of his wife Mumtaz Mahal.,Monument
Jaipur,Amer Fort,₹ 25 (Indians)/ ₹ 200 (Foreign),https://www.jaipurstuff.com/wp-content/uploads/2019/03/amer-fort-jaipur.jpg,Rajasthan Amer Fort  also known as Amber Fort  is a majestic fort situated on a hilltop and offers stunning views of the surrounding landscape and city.,Fort
New Delhi,India Gate,Free Entry,"https://static.toiimg.com/thumb/msid-83995408,width-748,height-499,resizemode=4,imgsize-770645/.jpg",India Gate is a war memorial dedicated to soldiers who died in World War I and stands as a symbol of India's unity and sacrifice.,Monument
Mumbai,Gateway of India,Free Entry,https://img.veenaworld.com/wp-content/uploads/2021/03/Gateway-of-India-Mumbai-History-and-Heritage.jpeg,The Gateway of India is an iconic arch monument built during the British Raj and is a popular tourist spot and gathering place in Mumbai.,Monument
Varanasi,Ganges River,Boat rides starting from ₹ 200,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftheprint.in%2Fpageturner%2Fexcerpt%2Fa-british-scientists-quest-to-scientifically-explain-the-mythical-powers-of-the-ganges%2F760822%2F&psig=AOvVaw3gS8nz2sUrQfcnHQjM7AB5&ust=1711168759216000&source=images&cd=vfe&opi=89978449&ved=0CBIQjRxqFwoTCMiknsKGh4UDFQAAAAAdAAAAABAJ,The Ganges River holds immense religious significance for Hindus and witnessing its rituals and ceremonies along the ghats is a unique experience.,River
Udaipur,City Palace,₹ 300 (Indians)/ ₹ 600 (Foreign),https://images.memphistours.com/large/1246734377_shutterstock_197923865.jpg,RajasthanCity Palace  a splendid palace complex  showcases the rich history and culture of Udaipur with its intricate architecture and stunning views,Monument
Kolkata,Victoria Memorial,₹ 30 (Indians)/ ₹ 500 (Foreign),https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Victoria_Memorial_situated_in_Kolkata.jpg/1200px-Victoria_Memorial_situated_in_Kolkata.jpg,West Bengal Victoria Memorial Victoria Memorial  is an architectural marvel and museum housing a vast collection of historical artifacts.,Monument
Jaisalmer,Jaisalmer Fort,₹ 50 (Indians)/ ₹ 250 (Foreign),https://miro.medium.com/v2/resize:fit:1400/1*qOrtYIwzdh0AlE9NZYSpAQ.jpeg,Rajasthan Jaisalmer Fort  also known as Sonar Quila  is a golden-hued fort rising from the Thar Desert  offering panoramic views of the city and desert.,Fort
Kochi,Fort Kochi,Free Entry,https://en-media.thebetterindia.com/uploads/2018/02/Untitled-design-9.jpg,Fort Kochi  with its colonial buildings  Chinese fishing nets  and vibrant art scene  is a charming coastal area steeped in history and culture.,Fort
Mumbai,Marine Drive,Free Entry,https://assets.cntraveller.in/photos/60ba15fc591f977adc97738e/16:9/w_1024%2Cc_limit/Marine-drive-1366x768.jpg,Marine Drive is a picturesque promenade along the Arabian Sea  offering stunning views of the ocean and the city skyline.,Promenade
Mumbai,Elephanta Caves,₹ 120 (Indians)/ ₹ 600 (Foreign),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/4e/d4/42/cave-2.jpg?w=1200&h=1200&s=1,The Elephanta Caves are a UNESCO World Heritage Site featuring ancient rock-cut caves dedicated to Lord Shiva,Caves
Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (formerly Prince of Wales Museum),₹ 85 (Indians)/ ₹ 500 (Foreign),https://www.shutterstock.com/image-photo/chhatrapati-shivaji-maharaj-vastu-sangrahalaya-600nw-1015539259.jpg,The Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a renowned museum showcasing art  and cultural exhibits from India and abroad.,Museum
Mumbai,Juhu Beach,Free Entry,https://d3mbwbgtcl4x70.cloudfront.net/Juhu_Chowpatty_beach_62eeda554f.webp,Juhu Beach is a popular seaside destination known for its sandy shores  lively atmosphere  and vibrant food stalls.,Beach
Mumbai,Siddhivinayak Temple,Free Entry,https://www.mapsofindia.com/ci-moi-images/my-india/siddhivinayak-temple-mumbai.jpg,Siddhivinayak Temple is a revered Hindu temple dedicated to Lord Ganesha  attracting devotees and visitors from all over the world.,Temple
Mumbai,Sanjay Gandhi National Park,₹ 55 (Indians)/ ₹ 250 (Foreign),https://static.toiimg.com/thumb/101132294/Sanjay-Gandhi-National-Park.jpg?width=1200&height=900,Sanjay Gandhi National Park is a sprawling wildlife sanctuary offering opportunities for nature walks  safaris  attracting devotees and visitors from all over the world.,National Park
Mumbai,Bandra-Worli Sea Link,Toll charges applicable for vehicles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/12/d3/17/bandra-worli-sea-link.jpg?w=1200&h=1200&s=1,The Bandra-Worli Sea Link is an architectural marvel and a cable-stayed bridge connecting Bandra and Worli  offering stunning views of the sea.,Bridge
Agra,Jahangir Palace,₹50(Indians) /₹650 (foreign),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Jehangir_Mahal_Agra_Fort_1.jpg/640px-Jehangir_Mahal_Agra_Fort_1.jpg,Jahangir Palace is one of the top examples of Mughal Architecture and was used mainly by the Rajput wives of Akbar,Fort
Agra,Guru ka Tal,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0f/71/3f/guru-ka-tal.jpg?w=1200&h=1200&s=1,Guru ka Tal is a historical Sikh pilgrimage place dedicated to the memory of ninth Guru Sri Guru Tegh Bahudar Ji.,Temple
Agra,Jama Mosque,Free Entry,https://www.orioleholiday.com/wp-content/uploads/2024/03/Jama-Masjid-Agra-min.jpg,"Jama Mosque was built by Jahanara Begum, the eldest daughter of Mughal Emperor Shah Jahan, during the latter's reign. It is the principal mosque in the city of Agra",Mosque
Agra,Akbar's Tomb,₹30(Indians) /₹310 (foreign),https://hblimg.mmtcdn.com/content/hubble/img/agra/mmt/activities/m_activities_agra_akbar_s_tomb_1_l_454_680.jpg,"Sprawling over 119 acres of land in Sikandra, Akbar's Tomb stands out with its unique architecture combining red sandstone and white marble. The scenic garden surrounding it only adds to its beauty",Tomb
Agra,Moti Masjid,₹20(Indians) /₹750 (foreign),https://hblimg.mmtcdn.com/content/hubble/img/agra/mmt/activities/m_activities_agra_moti_masjid_4_l_447_667.jpg,"Built by Shah Jahan, this structure is no less than a shining pearl when sunshine strikes its surface. It was built between the years 1648 to 1654.",Mosque
Agra,Fatehpur Sikri,₹50(Indians) /₹610 (foreign),https://hblimg.mmtcdn.com/content/hubble/img/agra/mmt/activities/m_activities_agra_fatehpur_sikri_1_l_489_733.jpg,"A small fort city near Agra, this place was founded as the Mughal capital by Akbar. This ghost-town now houses unique buildings depicting a blend of Islamic, Hindu and Christian architecture.",Fort
Agra,Chini Ka Rauza,₹30(Indians) /₹310 (foreign),https://agratourism.in/images/places-to-visit/headers/chini-ka-rauza-agra-tourism-entry-fee-timings-holidays-reviews-header.jpg,Chini Ka Rauza distinguishes itself from other Mughal monuments through its distinct Persian architectural style. It’s believed to be the only building in India in Persian architecture.,Monument
Jaipur,Hawa Mahal,₹ 50 (Indians)/ ₹ 200 (Foreign),https://hblimg.mmtcdn.com/content/hubble/img/jaipur/mmt/activities/m_activities-jaipur-hawa-mahal_l_400_640.jpg,"This five-storey building has been built without a foundation and is known for its exceptional ventilation, which is also the reason behind its name",Fort
Jaipur,City Palace,₹350(Indians) /₹610 (foreign),https://hblimg.mmtcdn.com/content/hubble/img/jaipur/mmt/activities/m_activities_city_palace_1_l_418_627.jpg,"A stunning blend of Mughal and Rajput architecture, the palace is a magnificent landmark of the city. It continues to be the home of the last ruling royal family who stay in a private section of the palace.",Palace
Jaipur,Nahargarh Fort,₹ 50 (Indians)/ ₹ 200 (Foreign),https://hblimg.mmtcdn.com/content/hubble/img/jaipur/mmt/activities/m_activities_nahargarh_fort_l_370_556.jpg,"Perched atop a ridge in the Aravalli Hills, Nahargarh Fort serves as a striking northern backdrop to the Jaipur city.",Fort
Jaipur,Jal Mahal,Free Entry,https://hblimg.mmtcdn.com/content/hubble/img/jaipur/mmt/destination/m_Activities_Jaipur_Jal%20Mahal_l_320_640.jpg,"Meaning ‘Water Palace’, this captivating marvel overlooking the Nahargarh Hills is located in the middle of the Man Sagar Lake, and was constructed as a hunting lodge for the king.",Palace
Jaipur,Birla Mandir,Free Entry,https://hblimg.mmtcdn.com/content/hubble/img/jaipur/mmt/activities/m_activities_birla_mandir_3_l_510_765.jpg,"Nestled in the heart of Rajasthan's capital, Jaipur, Birla Mandir, or Laxmi Narayan Temple, is a breathtaking architectural wonder.",Temple
Jaipur,Albert Hall Museum,₹ 40 (Indians)/ ₹ 300 (Foreign),https://www.holidify.com/images/cmsuploads/compressed/Albert_Hall_Museum_Night_View_20171004165444.jpg,"Situated in the Ram Niwas Garden of Jaipur, the Albert Hall Museum is the oldest museum in Rajasthan",Museum
Jaipur,Galtaji Temple,Free Entry,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1031572588_20200219165610_20200219165630.jpg,"Located on the outskirts of the regal city of Jaipur, Galtaji Temple is a prehistoric Hindu pilgrimage site.",Temple
New Delhi,Qutub Minar,₹35(Indians) /₹550 (foreign),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/1f/31/qutab-minar.jpg?w=1100&h=-1&s=1,"Qutub Minar comprises five distinct stories, each marked by a projecting balcony. While the first three stories are red sandstone, the last two are marble and sandstone.",Monument
New Delhi,Swaminarayan Akshardham,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/23/c6/0f/img-20160507-135554-largejpg.jpg?w=1200&h=-1&s=1,"Fantastic site to visit - unimaginable architechture, great theme show, diaorama and I max presentation.",Temple
New Delhi,Humayun's Tomb,₹35(Indians) /₹550 (foreign),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c9/39/b3/humayun-s-tomb.jpg?w=1200&h=-1&s=1,"This tomb, built in 1570, is of particular cultural significance as it was the first garden-tomb on the Indian subcontinent",Monument
New Delhi,India Gate,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/dc/5a/af/india-gate-a-beautiful.jpg?w=1200&h=-1&s=1,"The India Gate, built in 1931 and designed by Sir Edwin Lutyens, was inspired by the Arc de Triomphe.",Monument
New Delhi,Lodhi Garden,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/14/cf/80/lodi-gardens.jpg?w=1200&h=-1&s=1,"An oasis in an otherwise crowded, dusty city, Lodi Gardens is the perfect place to spend a relaxing afternoon admiring nature.",Garden
New Delhi,Lotus Temple,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/56/e2/7e/engineering-marvel-at.jpg?w=600&h=-1&s=1,"This architectural wonder looks like an enormous lotus blossom, reminiscent of the Sydney Opera House. Too bad the interior isn't even worth a look.",Temple
New Delhi,Gandhi Smriti,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/38/f9/ea/gandhi-smriti.jpg?w=1200&h=-1&s=1,Mahatma Gandhi's home while in Delhi and the site of his assassination.,Museum
Varanasi,Sarnath,₹ 25 (Indians)/ ₹ 100 (Foreign),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ee/12/6f/stupa.jpg?w=1200&h=-1&s=1,The Dhamekha stupa and other imposing structures adorn this holy site where Buddha first preached his message,Temple
Varanasi,Assi Ghat,Free Entry,https://varanasi.tourismindia.co.in/images//tourist-places/assi-ghat-varanasi/assi-ghat-varanasi-india-tourism-history.jpg,This ghat is also a starting point for boating rides and one can come here to enjoy early-morning yoga sessions and devotional music,Ghat
Varanasi,Monkey Temple,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/6e/e9/08/caption.jpg?w=1000&h=-1&s=1,It is a brick structure in red colour with a water body-Durga kund in the temple complex.,Temple
Varanasi,Sankat Mochan Temple,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b8/f6/91/sankat-mochan-hanuman.jpg?w=1200&h=-1&s=1,"Sankat Mochan Hanuman Temple is a Hindu temple in Varanasi, Uttar Pradesh, India and is dedicated to the Hindu God Hanuman. ",Temple
Varanasi,Vishwanath Temple,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fe/4d/48/new-vishwanath-temple.jpg?w=800&h=-1&s=1," The temple stands on the western bank of the holy river Ganga, and is one of the twelve Jyotirlingas, the holiest of Shivatemples.",Temple
Varanasi,Manikarnika Ghat,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/22/14/4b/photo3jpg.jpg?w=1200&h=-1&s=1,Manikarnika Ghat is one of the oldest ghats in Varanasi and has been accorded the highest position among other ghats by the holy scriptures in Hinduism.,Ghat
Varanasi,Ruchika Art Gallery,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/16/4a/80/galerie-de-ruchika.jpg?w=1200&h=-1&s=1,Ruchika Art Gallery allows visitors to pick up a paintbrush during artistic workshops in addition to presenting locally manufactured creative works.,Art Gallery
Udaipur,City Palace,₹350(Indians) /₹610 (foreign),https://www.holidify.com/images/cmsuploads/compressed/3137_20190428132918.jpg,"Built on the banks of Lake Pichola, the City Palace in Udaipur is considered to be the largest royal complex in Rajasthan",Palace
Udaipur,Lake Pichola,Free Entry,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1349545253_20190715095335.jpg," The oldest and one of the largest lakes of the city, the Lake Pichola observes lakhs of tourists because of its tranquillity and beauty",Lake
Udaipur,Sajjangarh Palace,₹100(Indians) /₹300 (foreign),https://www.holidify.com/images/cmsuploads/compressed/71_20190710185305.jpg,"Located just on the outskirts of the city of Udaipur, perched atop a hill, Sajjangarh Palace is a former royal residence belonging to the Mewar dynasty",Palace
Udaipur,Bagore Ki Haveli,₹30(Indians) /₹550 (foreign),https://www.holidify.com/images/cmsuploads/compressed/1024px-Bagore_ki_Haveli2C_Rajasthan_20190618192508.jpg,Dharohar Dance Show is the main highlight of Bagore ki Haveli which is a colourful dance performance by the traditional folk artists and dancers,Haveli
Udaipur,Jag Mandir Palace,₹ 300 (Indians)/ ₹ 600 (Foreign),https://www.holidify.com/images/cmsuploads/compressed/shutterstock_536597029_20190715095333.jpg,"Jag Mandir Palace (or ‘The Lake Garden Palace’), is a glorious palace located on the southern island of Lake Pichola in Udaipur, Rajasthan.",Palace
Udaipur,Eklingji Temple,Free Entry,https://www.holidify.com/images/cmsuploads/compressed/30883407598_f5348a51cb_b_20190514183627.jpg,Eklingji Temple is dedicated to the Lord Shiva of the Hindu religion and its brilliant architecture drives several tourists here every year.,Temple
Udaipur,Jagdish Temple,Free Entry,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1485787577_20200310120951.jpg,"Jagdish Temple is dedicated to Lord Vishnu, also known as Lord Laxmi Narayan and is reputed for being the most significant temple in the entire city of Udaipur.",Temple
Kolkata,Belur Math,Free Entry,"https://www.holidify.com/images/cmsuploads/compressed/A_fusion_Hindu_temple,_Belur_Math_Kolkata_India_2013_20170831165917.jpg",Belur Math in Kolkata is the headquarters of the Ramakrishna Math and Mission. Sprawling over forty acres of land on the west bank of the Hooghly River,Temple
Kolkata,Howrah Bridge,Free Entry,https://www.holidify.com/images/cmsuploads/compressed/attr_1815_20190329140817.jpg,"An iconic landmark of Kolkata, Howrah Bridge is a massive steel bridge constructed over the Hooghly River",Bridge
Kolkata,Birla Planetarium,₹ 40 (Indians)/ ₹ 300 (Foreign),https://www.holidify.com/images/cmsuploads/compressed/Birlaplanetarium_20170804102547.PNG,Birla planetarium is the largest planetarium in Asia and the second largest in the world! Situated in the city of joy - Kolkata,Planetarium
Kolkata,Indian Museum,₹ 10 (Indians)/ ₹ 100 (Foreign),https://www.holidify.com/images/cmsuploads/compressed/Indian_Museum_-_Kolkata__20170803163911.JPG," The finest collection of contemporary paintings, sacred relics of Buddha, Egyptian mummies and ancient sculptures.",Museum
Kolkata,Marble Palace Mansion,₹ 40 (Indians)/ ₹ 300 (Foreign),https://www.holidify.com/images/cmsuploads/compressed/1024px-Marble_Palace_Kolkata_20190618211620.jpg,"Marble Palace Mansion has  art collection of masterpieces by Reuben and paintings by various renowned international artists such as Reynolds, Van Gogh and Rembrandt.",Palace
Kolkata,Eden Gardens,Free Entry,https://www.holidify.com/images/attr_wiki/compressed/attr_wiki_1126.jpg,"The Eden Gardens is a beautiful, well-maintained cricket stadium located in Kolkata's B. B. D. Bagh area, near State Secretariat and Calcutta High Court",Stadium
Jaisalmer,Tanot Mata Temple,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ae/8c/f4/tanot-mata-temple.jpg?w=1100&h=-1&s=1,The Tanot Mata Temple holds a unique distinction as it miraculously escaped damage even as the neighboring areas were heavily bombarded,Temple
Jaisalmer,War Memorial,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b4/ad/fe/the-pakistani-tank-at.jpg?w=1200&h=-1&s=1, Indian army has developed this place like a open Museum where destroyed pakistani tanks lying in sand .,Memorial
Jaisalmer,Jain Temples,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/81/a3/00/exterieur-temple-1.jpg?w=1200&h=-1&s=1,Temples dedicated to the Jain Tirthankaras are considered some of the most important Jain temples in India.,Temple
Jaisalmer,Gadsisar Sagar Lake,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f4/a6/e6/gadsisar-sagar-lake.jpg?w=1200&h=-1&s=1,The architecture of Gadsisar lake was simply magnificent with the carved verandahs and halls.,Lake
Jaisalmer,Bada Bagh,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f5/3f/d0/bada-bagh.jpg?w=1000&h=-1&s=1,Wonderfully sculpted cenotaphs and chhatris of former rulers are the special attraction of Bada Bagh.,Garden
Jaisalmer,Sonee Art Gallery,₹ 40 (Indians)/ ₹ 300 (Foreign),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/74/da/8c/sonee-art-gallery.jpg?w=1200&h=-1&s=1,Sonee Art Gallery inside JAISALMER Fort is a collection of inspirational art portraying the True Heart of the people of Jaisalmer and the Deep Desert from which They have come.,Gallery
Jaisalmer,Kothari's Haveli,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/46/aa/4a/patwaon-ki-haveli.jpg?w=1100&h=-1&s=1," Kothari's Patwa Haveli has been turned into a museum famous for its  architecture, interiors, and artefacts depicting the lifestyle",Haveli
Kochi,Santa Cruz Basilica,₹ 10 (Indians)/ ₹ 100 (Foreign),https://hblimg.mmtcdn.com/content/hubble/img/kochi/mmt/activities/m_activities_kochi_santa_cruz_basilica_l_400_640.jpg,"Built during the 1500s, Santa Cruz is one of the eight Basilicas in India and the second oldest Diocese of the country.",Church
Kochi,Willingdon Island,Free Entry,https://hblimg.mmtcdn.com/content/hubble/img/kochi/mmt/activities/m_activities_kochi_willingdon_island_l_400_640.jpg,"Built around Lake Kochi, the scenic Island is named after the former Viceroy Lord Willingdon. Home to Kochi naval base, it also serves as a link between Kochi and other international ports.",Island
Kochi,Vypeen Island,Free Entry,https://hblimg.mmtcdn.com/content/hubble/img/kochi/mmt/activities/m_activities_kochi_vypeen_island_l_400_640.jpg,"Developed by the Portuguese, Vypeen Island offers a delightful combination of lovely beaches, backwaters, light houses, and an array of restaurants and hotels.",Island
Kochi,Muziris,Free Entry,https://hblimg.mmtcdn.com/content/hubble/img/ttd_places/mmt/activities/m_Muziris_1_l_480_640.jpg,This legendary seaport used to trade everything from spices to valuable stones millennia ago and now is home to India’s largest heritage conservation project.,Historical Site
Kochi,LuLu Mall,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/c6/77/bd/lulu.jpg?w=600&h=-1&s=1,"The biggest hypermarket in the nation, a 2,500-seater food court, 6 cafes and 11 fine dining restaurants.",Mall
Kochi,Jew Town,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/61/e4/42/the-shops-beside-the.jpg?w=1200&h=-1&s=1,Jew Town situated at Mattancherry in Fort Kochi is famous for its antique shopping avenues ,Market
Kochi,Kashi Art Gallery,Free Entry,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/35/3c/b6/kashi-art-gallery.jpg?w=1200&h=-1&s=1,"Kashi displays changing exhibitions of local artists in a creatively restored Dutch heritage house, attached to one of Kerala's most fabulous cafes.",Gallery